Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
42,0,Travel_Rarely,438,R&D,25,1,Technical Degree,2,Female,4,Healthcare Representative,4,Divorced,7405,0,Yes,3,3,3,2
39,0,Travel_Rarely,133,Sales,10,4,Marketing,2,Male,3,Sales Executive,1,Divorced,17874,3,No,3,2,11,1
48,0,Travel_Rarely,1223,R&D,8,5,Human Resources,4,Female,3,Laboratory Technician,3,Married,18438,3,Yes,3,2,2,2
34,0,Travel_Frequently,874,Sales,7,2,Medical,3,Male,4,Sales Representative,1,Married,18085,2,No,3,2,7,1
40,1,Travel_Frequently,1316,R&D,29,5,Other,2,Male,4,Manager,4,Single,3934,7,No,3,1,14,1
49,0,Non-Travel,1173,R&D,24,1,Human Resources,3,Male,1,Research Director,3,Single,15347,2,No,3,1,0,0
27,0,Travel_Rarely,1375,R&D,12,5,Life Sciences,3,Female,1,Research Director,2,Single,14502,4,Yes,3,1,12,1
27,0,Travel_Rarely,1351,R&D,17,2,Human Resources,1,Female,1,Laboratory Technician,2,Divorced,14711,1,Yes,3,1,5,2
53,0,Travel_Rarely,1397,HR,25,4,Human Resources,2,Male,4,Human Resources,2,Single,14848,5,Yes,3,1,6,0
25,0,Travel_Rarely,766,Sales,12,3,Marketing,1,Female,1,Sales Executive,4,Married,15426,5,No,4,3,5,0
37,0,Travel_Rarely,429,Sales,16,4,Life Sciences,2,Male,2,Sales Representative,3,Married,5695,7,No,3,3,14,3
49,0,Travel_Rarely,898,Sales,10,2,Human Resources,3,Female,1,Sales Executive,4,Divorced,17203,7,Yes,3,4,0,0
31,0,Travel_Rarely,1305,R&D,27,2,Medical,2,Male,4,Manager,3,Divorced,16860,0,Yes,4,3,2,0
45,0,Travel_Rarely,915,Sales,25,1,Life Sciences,4,Female,4,Manager,2,Single,15097,4,No,3,2,14,2
41,0,Travel_Rarely,766,R&D,12,5,Medical,3,Female,2,Healthcare Representative,2,Divorced,15636,1,Yes,3,3,9,0
32,0,Travel_Rarely,847,R&D,11,5,Other,2,Female,3,Laboratory Technician,1,Married,9843,9,No,4,2,0,0
39,0,Travel_Rarely,1148,R&D,25,4,Other,1,Female,2,Manager,4,Married,17800,4,No,4,3,5,0
47,0,Travel_Rarely,1031,R&D,29,3,Technical Degree,1,Female,4,Healthcare Representative,4,Divorced,16573,9,No,3,1,5,2
21,1,Non-Travel,1064,R&D,14,3,Other,3,Male,3,Healthcare Representative,1,Married,6566,8,No,3,3,3,1
30,1,Travel_Rarely,1495,R&D,22,1,Human Resources,1,Female,2,Research Director,2,Divorced,6999,3,Yes,4,4,2,2
40,0,Travel_Rarely,1370,Sales,20,2,Life Sciences,3,Female,2,Sales Executive,2,Married,4866,7,No,3,1,8,0
25,0,Travel_Frequently,1285,R&D,13,1,Other,3,Female,3,Healthcare Representative,4,Single,9937,0,No,3,1,1,1
35,0,Travel_Rarely,474,R&D,2,5,Medical,3,Female,2,Research Director,3,Divorced,3002,7,No,3,4,11,1
29,0,Travel_Rarely,386,R&D,27,2,Human Resources,2,Male,3,Manager,2,Divorced,17623,5,No,3,3,11,1
48,0,Travel_Rarely,622,R&D,20,1,Other,3,Female,1,Research Scientist,1,Divorced,19328,7,No,3,3,3,1
31,0,Travel_Rarely,798,Sales,7,4,Marketing,1,Female,3,Manager,1,Married,10047,5,No,3,4,2,2
51,1,Non-Travel,908,R&D,1,5,Medical,4,Male,2,Healthcare Representative,1,Single,16925,2,Yes,3,1,2,2
35,0,Travel_Frequently,748,HR,25,3,Medical,2,Male,1,Human Resources,4,Divorced,13707,7,No,3,4,4,0
51,0,Travel_Rarely,237,Sales,3,1,Technical Degree,1,Female,4,Sales Executive,4,Married,11790,4,No,3,2,8,0
28,0,Travel_Rarely,197,R&D,29,5,Marketing,3,Male,4,Research Director,4,Divorced,16301,9,No,3,2,3,3
58,0,Travel_Rarely,1244,R&D,29,5,Technical Degree,3,Female,4,Healthcare Representative,4,Married,16596,4,No,3,3,6,0
29,1,Non-Travel,1499,Sales,20,3,Other,4,Female,2,Sales Representative,1,Single,2353,6,No,4,1,3,3
32,0,Travel_Rarely,375,Sales,12,3,Marketing,1,Male,1,Sales Representative,1,Married,11227,5,No,3,2,2,1
48,1,Travel_Rarely,979,Sales,5,3,Medical,2,Female,3,Sales Executive,4,Married,16828,8,Yes,3,4,0,0
46,0,Non-Travel,951,Sales,12,1,Technical Degree,1,Male,4,Sales Executive,4,Divorced,18063,6,No,3,3,0,0
43,1,Travel_Rarely,1302,R&D,29,3,Human Resources,3,Male,4,Manager,1,Married,9678,2,Yes,3,3,1,0
35,0,Travel_Rarely,885,R&D,3,4,Marketing,2,Female,1,Healthcare Representative,4,Divorced,13910,4,No,4,1,3,2
49,0,Travel_Rarely,1402,R&D,20,5,Medical,3,Female,1,Research Director,4,Married,7864,8,No,3,2,13,4
39,0,Travel_Frequently,1263,Sales,5,3,Life Sciences,3,Male,1,Manager,4,Single,15716,9,Yes,3,3,11,8
55,0,Non-Travel,233,R&D,28,5,Marketing,1,Female,2,Manager,4,Married,18868,1,No,3,4,2,0
34,0,Travel_Rarely,1169,R&D,1,2,Marketing,4,Male,1,Healthcare Representative,2,Divorced,16150,0,No,3,2,1,0
40,0,Travel_Rarely,1248,R&D,16,2,Other,3,Male,3,Laboratory Technician,4,Married,18074,7,No,3,3,1,0
41,1,Travel_Rarely,1261,R&D,9,3,Human Resources,1,Male,3,Manager,1,Married,7125,7,No,3,3,2,2
25,0,Travel_Rarely,1492,R&D,10,5,Other,2,Male,4,Laboratory Technician,1,Single,10204,1,No,4,2,4,0
58,0,Travel_Rarely,474,Sales,29,2,Marketing,4,Female,3,Sales Representative,1,Divorced,3347,7,Yes,3,2,4,0
23,0,Travel_Rarely,1251,R&D,10,3,Marketing,3,Female,1,Research Scientist,1,Single,15743,4,Yes,3,1,1,0
22,1,Travel_Rarely,909,Sales,13,5,Human Resources,3,Female,3,Sales Executive,4,Married,4708,1,Yes,3,4,0,0
46,0,Travel_Rarely,845,R&D,16,3,Human Resources,2,Female,4,Manager,2,Single,11114,6,No,3,1,0,0
45,1,Travel_Rarely,152,R&D,20,5,Technical Degree,1,Female,2,Laboratory Technician,3,Married,1637,6,Yes,3,1,1,1
28,0,Travel_Rarely,1262,Sales,29,2,Medical,3,Female,3,Sales Executive,3,Married,6866,2,No,3,4,8,0
18,0,Travel_Rarely,1283,Sales,25,3,Medical,2,Male,4,Sales Representative,3,Single,4008,0,No,3,4,1,0
36,0,Travel_Frequently,157,R&D,4,2,Technical Degree,3,Female,4,Healthcare Representative,3,Single,17251,3,No,3,1,4,0
26,1,Travel_Rarely,845,Sales,14,3,Medical,1,Male,1,Manager,1,Married,6600,1,No,3,2,6,0
44,0,Travel_Rarely,529,R&D,17,1,Marketing,4,Male,4,Manager,4,Single,12649,3,No,3,4,15,0
51,0,Travel_Rarely,544,R&D,28,2,Technical Degree,1,Male,3,Laboratory Technician,4,Single,12366,7,No,3,1,15,2
21,0,Travel_Rarely,427,R&D,5,2,Technical Degree,1,Female,4,Research Director,3,Married,12880,1,Yes,3,2,9,0
53,0,Travel_Rarely,741,R&D,13,4,Medical,1,Male,4,Research Scientist,3,Divorced,18783,0,Yes,3,3,0,0
35,1,Travel_Frequently,930,R&D,25,2,Life Sciences,2,Female,1,Laboratory Technician,2,Single,18889,2,No,3,2,5,0
32,1,Travel_Rarely,181,R&D,3,5,Medical,3,Male,1,Research Director,2,Single,9441,9,Yes,3,1,10,2
30,1,Non-Travel,575,R&D,5,3,Other,4,Female,3,Laboratory Technician,2,Divorced,6320,6,Yes,3,4,0,0
36,0,Non-Travel,478,R&D,16,1,Life Sciences,2,Female,4,Manager,1,Single,9727,5,No,3,2,5,2
23,0,Travel_Rarely,1020,R&D,19,5,Technical Degree,1,Female,2,Manager,4,Married,12724,5,Yes,3,2,13,1
29,1,Travel_Rarely,434,Sales,28,5,Life Sciences,4,Female,4,Sales Representative,1,Single,7443,6,No,3,2,4,2
54,1,Travel_Rarely,1300,R&D,19,5,Marketing,1,Female,2,Research Scientist,1,Married,14394,7,Yes,4,4,0,0
34,0,Non-Travel,542,R&D,17,5,Human Resources,1,Male,3,Manager,4,Divorced,7952,2,No,3,4,0,0
40,0,Non-Travel,227,Sales,18,1,Life Sciences,1,Female,1,Sales Executive,2,Divorced,9649,2,No,3,2,3,0
43,1,Travel_Rarely,320,R&D,18,4,Other,4,Female,3,Laboratory Technician,4,Divorced,4369,9,No,3,2,1,1
46,0,Travel_Rarely,1049,R&D,25,2,Human Resources,3,Male,1,Healthcare Representative,3,Single,8983,7,No,3,1,7,2
50,0,Travel_Rarely,379,R&D,23,5,Marketing,1,Female,1,Research Director,2,Divorced,12888,6,No,3,4,8,1
44,1,Travel_Rarely,696,R&D,8,2,Other,3,Female,4,Research Director,4,Single,6635,9,Yes,3,2,1,1
42,0,Travel_Rarely,1036,Sales,18,2,Human Resources,4,Female,4,Sales Representative,1,Single,5069,4,No,3,4,15,1
27,0,Travel_Rarely,242,Sales,9,5,Marketing,4,Female,1,Sales Executive,4,Single,7251,3,No,3,4,4,4
40,0,Travel_Rarely,947,R&D,29,4,Human Resources,1,Female,2,Laboratory Technician,2,Divorced,12579,5,No,3,4,1,1
38,1,Non-Travel,1109,Sales,19,2,Human Resources,3,Male,2,Sales Executive,3,Divorced,6737,8,No,3,1,10,7
38,0,Travel_Rarely,978,Sales,10,3,Medical,3,Female,4,Manager,1,Single,10439,5,Yes,3,3,10,5
30,0,Travel_Rarely,211,R&D,29,2,Other,1,Male,3,Laboratory Technician,3,Divorced,3573,7,No,4,4,7,4
54,1,Travel_Frequently,1177,Sales,2,5,Other,2,Female,2,Sales Representative,3,Single,1125,0,No,4,4,13,2
50,0,Travel_Rarely,714,R&D,28,1,Life Sciences,2,Male,1,Research Scientist,1,Divorced,10421,5,Yes,3,2,9,0
41,0,Non-Travel,814,Sales,17,2,Other,4,Male,4,Sales Executive,4,Married,12403,1,No,4,4,14,0
28,1,Non-Travel,1444,Sales,25,4,Other,4,Male,4,Sales Representative,4,Divorced,2306,2,Yes,3,3,3,2
34,0,Travel_Rarely,1324,R&D,24,3,Human Resources,2,Female,1,Research Scientist,3,Divorced,3101,5,Yes,3,4,9,7
21,1,Travel_Rarely,897,R&D,13,3,Technical Degree,2,Female,3,Laboratory Technician,4,Divorced,15681,1,Yes,3,1,40,2
42,0,Non-Travel,830,R&D,28,1,Medical,2,Male,1,Healthcare Representative,2,Single,1135,3,Yes,3,2,9,5
47,1,Travel_Rarely,1171,R&D,11,1,Life Sciences,1,Female,3,Research Director,3,Single,8311,5,No,3,3,0,0
26,0,Travel_Rarely,606,Sales,16,2,Medical,1,Female,4,Sales Representative,3,Married,18843,4,Yes,4,1,5,0
38,0,Non-Travel,1142,Sales,20,5,Life Sciences,1,Male,3,Manager,3,Married,1812,5,No,3,3,6,0
37,0,Travel_Rarely,416,R&D,7,4,Marketing,1,Female,1,Manager,2,Married,11130,5,No,3,2,1,0
36,0,Travel_Rarely,178,R&D,28,3,Human Resources,1,Male,4,Manager,3,Single,18254,7,Yes,3,4,23,0
36,0,Travel_Rarely,1079,R&D,3,1,Other,1,Female,2,Laboratory Technician,4,Married,16227,8,No,3,2,1,1
29,0,Travel_Rarely,1000,R&D,16,4,Other,4,Male,4,Research Scientist,4,Married,14760,4,No,3,2,1,1
54,0,Travel_Rarely,1496,R&D,19,5,Technical Degree,3,Female,1,Laboratory Technician,4,Divorced,9826,5,No,3,4,17,2
59,1,Non-Travel,1290,R&D,20,3,Medical,4,Female,1,Healthcare Representative,4,Married,14939,5,Yes,3,1,4,1
34,0,Travel_Frequently,1149,Sales,16,3,Medical,3,Male,4,Sales Representative,3,Divorced,1668,5,No,4,3,0,0
54,1,Travel_Rarely,813,R&D,2,5,Medical,4,Male,4,Research Scientist,2,Single,18677,1,No,4,1,6,0
56,0,Travel_Rarely,1160,R&D,14,3,Other,4,Female,4,Laboratory Technician,1,Single,9460,3,Yes,3,4,6,1
45,0,Non-Travel,955,Sales,26,5,Medical,1,Male,3,Sales Executive,4,Divorced,9673,0,Yes,3,3,0,0
58,0,Non-Travel,1263,R&D,20,3,Human Resources,1,Male,2,Research Scientist,1,Married,4390,0,No,3,4,25,0
52,0,Non-Travel,810,HR,10,2,Life Sciences,3,Male,3,Human Resources,1,Single,10453,0,Yes,3,1,5,1
35,0,Non-Travel,366,HR,19,5,Other,3,Male,1,Manager,3,Divorced,16904,6,No,3,2,5,0
31,0,Travel_Rarely,434,R&D,24,4,Human Resources,1,Male,4,Laboratory Technician,4,Single,16396,0,No,3,3,5,4
52,0,Travel_Frequently,289,R&D,11,2,Marketing,4,Female,3,Research Scientist,4,Single,5334,5,No,3,4,6,0
58,0,Travel_Rarely,1188,R&D,18,4,Human Resources,3,Male,3,Research Director,4,Married,17285,1,No,3,3,2,0
24,1,Travel_Rarely,921,R&D,11,3,Human Resources,2,Male,1,Research Scientist,1,Single,3235,5,Yes,3,3,2,0
58,0,Travel_Rarely,1404,R&D,9,4,Marketing,2,Male,3,Research Director,4,Divorced,6019,5,Yes,4,1,5,0
30,0,Non-Travel,1296,R&D,19,2,Human Resources,2,Male,1,Healthcare Representative,4,Married,19961,2,No,3,2,11,2
35,0,Travel_Rarely,400,R&D,20,5,Life Sciences,3,Female,3,Manager,2,Divorced,1675,7,No,4,3,0,0
54,0,Travel_Rarely,302,R&D,29,1,Other,1,Male,2,Healthcare Representative,3,Divorced,19823,3,No,3,1,6,1
30,1,Travel_Rarely,1260,R&D,10,4,Technical Degree,1,Female,1,Laboratory Technician,4,Divorced,10873,6,Yes,3,3,11,2
53,0,Travel_Frequently,373,Sales,26,1,Marketing,1,Female,2,Sales Executive,4,Married,6587,3,Yes,3,2,1,0
48,1,Travel_Rarely,636,R&D,3,4,Other,3,Male,3,Research Director,3,Single,6945,0,Yes,3,3,0,0
19,0,Travel_Rarely,1212,R&D,3,4,Medical,3,Male,2,Research Director,3,Divorced,5767,5,No,3,2,2,0
33,0,Travel_Frequently,132,R&D,24,5,Life Sciences,2,Female,2,Research Scientist,1,Single,8004,4,Yes,3,1,6,0
26,0,Travel_Rarely,1246,HR,8,3,Technical Degree,3,Female,2,Manager,1,Single,8728,8,No,3,1,1,1
26,0,Travel_Rarely,170,R&D,29,2,Life Sciences,2,Female,3,Research Scientist,1,Divorced,7609,8,No,3,2,3,3
55,1,Travel_Frequently,984,Sales,29,2,Life Sciences,2,Male,1,Sales Representative,3,Single,8131,7,No,4,2,5,2
28,0,Non-Travel,1062,Sales,6,2,Medical,1,Female,3,Manager,2,Married,18696,6,No,3,1,6,0
39,0,Travel_Frequently,928,R&D,20,3,Technical Degree,3,Male,3,Research Director,4,Married,5099,1,Yes,3,2,2,0
50,1,Non-Travel,1025,Sales,1,1,Life Sciences,1,Female,3,Sales Representative,3,Single,19038,7,No,3,2,3,3
53,0,Travel_Rarely,1271,R&D,20,2,Medical,1,Female,1,Healthcare Representative,2,Single,16859,2,No,3,4,10,0
40,0,Travel_Rarely,1085,R&D,24,1,Marketing,3,Male,4,Laboratory Technician,3,Married,16582,5,No,4,3,19,0
51,0,Travel_Rarely,1458,R&D,6,3,Medical,3,Male,3,Research Director,2,Single,18669,9,No,3,1,13,0
26,0,Travel_Rarely,582,R&D,2,3,Human Resources,4,Female,3,Research Scientist,3,Single,12639,6,No,3,1,5,0
41,1,Travel_Rarely,1388,R&D,19,5,Other,2,Male,1,Research Scientist,3,Single,6180,5,Yes,3,4,3,0
25,1,Travel_Frequently,394,Sales,28,2,Medical,4,Male,4,Manager,2,Single,18763,4,Yes,3,2,2,1
24,1,Travel_Rarely,187,R&D,7,5,Medical,2,Female,4,Manager,2,Divorced,17192,3,No,3,2,0,0
53,1,Travel_Rarely,1141,R&D,11,2,Medical,2,Male,4,Healthcare Representative,2,Single,18029,1,No,3,2,0,0
35,1,Travel_Rarely,829,R&D,11,3,Life Sciences,2,Male,4,Manager,2,Married,6412,8,Yes,4,1,8,0
20,1,Travel_Rarely,729,R&D,4,3,Technical Degree,1,Female,1,Laboratory Technician,2,Divorced,5652,6,No,4,4,2,0
45,1,Travel_Rarely,219,Sales,20,4,Medical,1,Female,1,Sales Representative,2,Divorced,7834,6,No,3,3,2,1
23,0,Travel_Rarely,371,R&D,16,4,Medical,3,Male,4,Laboratory Technician,2,Married,5451,3,Yes,3,4,40,1
38,0,Travel_Rarely,1080,R&D,5,3,Human Resources,2,Male,2,Research Director,2,Single,8084,4,No,3,1,1,1
45,0,Travel_Rarely,956,R&D,24,3,Human Resources,2,Male,1,Manager,3,Divorced,13862,5,No,3,3,1,1
57,1,Non-Travel,263,R&D,7,1,Marketing,2,Female,2,Research Director,2,Divorced,15692,1,Yes,3,2,0,0
18,1,Non-Travel,801,R&D,25,1,Marketing,1,Female,2,Research Scientist,2,Single,17748,3,No,3,4,6,3
53,0,Non-Travel,1229,Sales,16,5,Human Resources,3,Male,4,Manager,3,Single,3655,3,No,4,4,6,1
38,0,Travel_Rarely,268,R&D,15,4,Technical Degree,1,Male,4,Research Scientist,3,Married,8433,3,No,3,1,3,0
52,0,Travel_Rarely,401,Sales,5,4,Marketing,4,Male,3,Sales Executive,1,Divorced,2314,6,No,3,4,5,4
30,1,Travel_Rarely,129,R&D,1,3,Other,4,Female,2,Healthcare Representative,1,Single,15902,6,No,3,3,10,2
27,0,Travel_Rarely,663,R&D,20,3,Other,4,Female,3,Research Scientist,2,Single,6272,6,No,3,4,11,0
27,0,Travel_Rarely,984,R&D,22,5,Technical Degree,3,Male,4,Manager,2,Married,1218,6,No,3,1,22,0
30,0,Travel_Rarely,257,Sales,22,4,Human Resources,4,Male,2,Sales Executive,1,Divorced,5703,1,No,3,4,12,0
54,0,Travel_Rarely,1449,Sales,9,1,Marketing,3,Male,1,Sales Executive,1,Single,16994,4,Yes,3,3,5,1
55,0,Travel_Rarely,1473,R&D,26,2,Medical,1,Male,3,Manager,4,Married,2539,9,Yes,3,3,1,0
41,0,Travel_Frequently,1246,Sales,29,5,Human Resources,1,Female,4,Sales Representative,4,Divorced,14145,1,No,3,1,0,0
19,0,Travel_Rarely,753,Sales,21,2,Marketing,3,Male,2,Sales Executive,2,Divorced,18986,4,No,3,2,0,0
39,1,Travel_Rarely,922,R&D,5,1,Technical Degree,1,Male,4,Manager,4,Divorced,6064,5,Yes,3,1,7,2
34,1,Travel_Rarely,662,R&D,22,1,Other,1,Female,3,Healthcare Representative,1,Divorced,14788,2,No,3,2,11,3
53,0,Travel_Frequently,1289,R&D,27,2,Technical Degree,3,Male,4,Research Director,2,Married,18489,5,Yes,3,3,4,3
31,1,Travel_Rarely,1187,R&D,6,5,Marketing,4,Male,4,Laboratory Technician,3,Single,12603,4,Yes,4,4,0,0
27,0,Non-Travel,1465,Sales,3,2,Technical Degree,3,Male,1,Manager,3,Divorced,3488,3,No,3,4,5,4
52,0,Travel_Rarely,413,Sales,6,5,Marketing,2,Male,4,Sales Representative,1,Divorced,19802,9,No,4,3,19,2
42,0,Travel_Rarely,477,R&D,8,5,Marketing,1,Male,2,Manager,4,Single,17411,8,Yes,3,1,6,4
20,0,Travel_Rarely,1471,R&D,28,3,Technical Degree,3,Male,2,Research Director,3,Divorced,9207,7,No,3,4,11,1
55,0,Travel_Rarely,251,R&D,6,4,Life Sciences,1,Female,1,Laboratory Technician,4,Divorced,13770,6,No,3,1,11,1
34,0,Travel_Rarely,686,Sales,16,4,Medical,4,Male,2,Manager,3,Single,8977,0,Yes,3,4,18,3
29,0,Travel_Frequently,682,Sales,28,1,Human Resources,1,Female,4,Sales Representative,4,Single,5661,8,No,3,2,10,0
41,0,Travel_Rarely,1078,Sales,16,3,Other,3,Female,4,Sales Representative,3,Divorced,5549,8,No,3,4,9,1
46,0,Travel_Rarely,278,Sales,27,4,Medical,4,Female,2,Sales Representative,3,Single,16029,5,Yes,3,2,1,1
42,0,Non-Travel,455,R&D,21,5,Human Resources,4,Female,3,Manager,2,Married,5973,6,No,3,4,0,0
53,0,Non-Travel,615,R&D,3,5,Human Resources,4,Male,4,Laboratory Technician,2,Married,9436,2,No,3,4,5,5
43,0,Non-Travel,410,R&D,17,2,Other,2,Male,2,Research Scientist,1,Divorced,11086,4,No,3,4,0,0
55,0,Non-Travel,220,Sales,21,2,Medical,3,Male,4,Manager,3,Divorced,18740,6,No,3,4,22,0
18,0,Travel_Rarely,868,R&D,6,5,Other,3,Male,4,Laboratory Technician,4,Single,7964,0,Yes,3,4,2,0
37,0,Non-Travel,1097,R&D,6,5,Marketing,4,Female,1,Manager,3,Single,15842,0,No,3,1,13,1
45,1,Travel_Rarely,1074,R&D,22,2,Other,1,Female,2,Manager,4,Divorced,2745,4,Yes,3,2,3,1
33,0,Non-Travel,1017,Sales,19,4,Technical Degree,4,Female,4,Sales Representative,4,Divorced,13697,8,No,3,2,2,0
34,0,Travel_Rarely,579,R&D,20,1,Life Sciences,2,Male,3,Manager,3,Married,4879,6,No,3,4,19,0
57,0,Non-Travel,688,R&D,15,2,Life Sciences,4,Female,2,Research Director,4,Single,19499,0,No,3,1,3,1
45,0,Travel_Rarely,452,R&D,19,4,Life Sciences,3,Male,3,Research Director,1,Divorced,3267,4,No,3,1,3,2
29,0,Non-Travel,296,Sales,2,4,Medical,4,Female,2,Sales Executive,2,Divorced,19651,7,No,3,3,0,0
44,1,Travel_Rarely,1312,Sales,8,4,Medical,1,Male,3,Manager,4,Single,10688,7,Yes,3,3,7,2
59,0,Travel_Rarely,597,R&D,7,3,Marketing,3,Female,3,Research Scientist,3,Single,16065,1,No,3,1,2,2
47,1,Non-Travel,616,Sales,27,3,Life Sciences,1,Female,2,Manager,2,Divorced,11988,6,Yes,4,3,6,1
58,0,Travel_Rarely,797,R&D,8,4,Marketing,4,Male,1,Laboratory Technician,1,Divorced,5481,9,Yes,3,2,6,6
51,0,Non-Travel,374,R&D,13,5,Life Sciences,3,Female,1,Research Scientist,4,Divorced,1929,4,No,3,1,8,2
